year;month;share_bus_lcvgaz;share_bort_lcvgaz;share_cmf_lcvgaz;share_lcv_total;share_bort_ldtgaz;share_dumptruck;share_ldt_total;share_total_quantity;bus_uaz;bort_uaz;cmf_uaz;wa_sprice_lcv;wa_sprice_ldt;wa_sprice_total;turnover_lcv;turnover_ldt;turnover_total;leasing;credit;element;vtb;europlan;karkade;baltiyskiy;sberbank;reso;alfa;gazprom;gdp;cp_index;rt_turnover;volume_services ;construction;industrial_production;agriculture;road_freight_turnover;passenger_turnover;business_index;exchange_rate;urals;key_rate;applications;callback_website;callback_account;client_question;app_website;online_requests
2019;1;0,53;0,63;0,29;0,5;0,65;1;0,67;0,52;336;533;490;1182;1849;1317;5,4;4,3;5;0,22;0,08;123;65;79;15;29;59;72;27;2;0,014;0,01;0,022;-0,001;-0,089;0,027;0,009;0,048;-0,007;-2,9;67,3328;59,85;7,75;19845;55;9;8;169;121
2019;2;0,47;0,64;0,33;0,5;0,69;0,98;0,7;0,52;359;619;513;1180;1851;1290;3,4;3,3;3;0,45;0,08;415;335;128;31;108;174;156;47;5;0,014;0,004;0,023;0,015;0,001;0,042;0,012;0,021;-0,014;-2;65,8593;63,85;7,75;14742;94;3;1;203;71
2019;3;0,4;0,67;0,33;0,5;0,68;0,99;0,7;0,53;280;679;404;1179;1847;1288;2,8;2,6;3;0,4;0,1;397;320;191;63;93;278;192;101;30;0,014;0,003;0,024;0,004;0,034;0,027;0,017;0,18;-0,001;-2,8;65,1429;65,98;7,75;49840;83;4;2;227;115
2019;4;0,4;0,66;0,38;0,51;0,63;1;0,66;0,53;273;766;476;1171;1843;1289;2,8;2,3;3;0,37;0,11;423;348;212;51;108;183;109;58;78;0,014;0,003;0,02;0,005;0,022;0,052;0,016;0,147;-0,007;-1,9;64,617;71,54;7,75;40376;88;19;5;171;94
2019;5;0,4;0,71;0,34;0,52;0,59;1;0,62;0,53;174;525;533;1191;1868;1291;3,1;3,2;3;0,38;0,09;416;255;123;43;53;175;105;44;52;0,014;0,003;0,019;0,003;0,029;0,01;0,012;0,041;-0,019;-2,6;64,8152;70,93;7,75;28035;78;10;3;153;70
2019;6;0,41;0,71;0,37;0,53;0,63;0,99;0,66;0,54;206;564;376;1182;1862;1290;2,8;2,8;3;0,35;0,08;412;310;157;43;81;180;97;48;32;0,014;0;0,018;-0,004;0,031;0,032;0,013;0,022;-0,023;-2;64,2246;61,93;7,5;10339;83;16;5;138;27
2019;7;0,43;0,69;0,29;0,5;0,68;0,99;0,7;0,53;234;737;496;1176;1854;1296;2,7;2,5;3;0,41;0,08;791;279;147;38;66;241;60;87;56;0,028;0,002;0,015; -     ;0,036;0,043;0,064;0,039;-0,018;-1,2;63,1983;63,34;7,25;39704;82;13;3;183;118
2019;8;0,39;0,69;0,31;0,5;0,71;0,99;0,72;0,53;289;689;454;1164;1838;1279;2,3;2,4;2;0,37;0,11;766;345;132;58;59;143;63;73;69;0,028;-0,002;0,011;0,005;0,027;0,039;0,036;0,034;-0,032;0,4;65,5278;59,38;7,25;17969;79;10;3;154;75
2019;9;0,41;0,72;0,31;0,52;0,72;0,94;0,73;0,54;212;572;444;1181;1860;1290;2,1;2,7;2;0,38;0,1;729;325;139;28;55;168;121;61;76;0,028;-0,002;0,009;0,012;0,053;0,05;0,058;0,033;-0,013;-0,2;64,9795;61,06;7;39501;96;19;1;207;76
2019;10;0,4;0,72;0,29;0,5;0,65;1;0,66;0,52;247;680;569;1174;1896;1294;2,1;2,7;2;0,36;0,1;711;243;168;33;53;185;84;62;90;0,031;0,001;0,019;0,011;0,067;0,044;0,054;0,058;-0,006;-0,2;64,3539;58,45;6,5;53760;77;30;12;221;145
2019;11;0,42;0,69;0,35;0,52;0,66;0,97;0,67;0,54;238;679;535;1174;1892;1295;2,2;2,9;2;0,37;0,1;677;255;148;16;53;176;103;53;188;0,031;0,003;0,026;0,003;-0,014;0,015;0,06;0,081;-0,013;-1,5;63,865;63,34;6,5;62041;78;18;5;174;88
2019;12;0,45;0,69;0,34;0,51;0,7;0,98;0,72;0,54;493;813;775;1185;1890;1301;1,9;2,9;2;0,35;0,1;739;234;168;53;86;278;107;64;121;0,031;0,004;0,018;0,009;0,002;0,026;0,058;0,072;0,003;-1,6;62,9356;64,47;6,25;69230;76;17;9;149;120
2020;1;0,47;0,7;0,4;0,53;0,7;0,98;0,72;0,55;334;459;490;1197;1964;1338;4,5;6,2;5;0,33;0,1;293;123;68;19;32;95;61;32;26;0,015;0,004;0,028;0,035;0,028;0,016;0,029;0,029;-0,007;-2,6;61,7808;61,67;6,25;18732;57;18;11;177;190
2020;2;0,39;0,69;0,38;0,51;0,58;0,98;0,61;0,52;260;469;398;1198;1998;1336;3;4,2;3;0,33;0,1;360;183;74;37;60;162;72;47;27;0,015;0,003;0,049;0,026;0,035;0,051;0,031;0,084;0,006;-1,3;63,8776;54,24;6;42868;69;9;0;149;136
2020;3;0,33;0,68;0,37;0,48;0,63;0,98;0,66;0,5;207;545;347;1113;2098;1242;2,5;4,7;3;0,33;0,13;438;254;70;20;67;213;74;32;45;0,015;0,006;0,069;-0,044;0,024;0,028;0,03;-0,058;-0,134;-0,8;73,148;29,17;6;41860;71;25;0;147;201
2020;4;0,39;0,69;0,38;0,53;0,63;0,99;0,65;0,54;188;433;272;1238;2177;1414;4,9;5,9;5;0,5;0,05;248;79;59;17;87;185;129;57;78;-0,073;0,008;-0,22;-0,364;-0,057;-0,044;0,031;-0,082;-0,69;-8,4;75,2169;18,22;5,5;31535;83;44;0;156;500
2020;5;0,32;0,69;0,38;0,5;0,62;0,95;0,65;0,52;129;411;240;1245;2177;1422;4,3;4,7;4;0,44;0,05;228;183;42;25;113;196;142;64;83;-0,073;0,003;-0,175;-0,376;-0,042;-0,077;0,032;-0,022;-0,623;-8,1;72,611;31,03;5,5;21133;62;21;0;139;100
2020;6;0,31;0,71;0,35;0,51;0,64;0,94;0,66;0,53;203;467;437;1230;2191;1379;2,4;3,2;2;0,43;0,07;253;296;117;51;147;325;193;107;87;-0,073;0,002;-0,061;-0,297;-0,021;-0,066;0,03;-0,075;-0,449;-6,2;69,2217;41,93;4,5;16163;65;22;0;163;75
2020;7;0,36;0,7;0,36;0,51;0,67;0,98;0,69;0,53;205;567;454;1304;2316;1459;2,2;3;2;0,46;0,06;314;276;112;46;100;284;176;127;124;-0,033;0,003;-0,005;-0,206;-0,004;-0,056;0,042;0,003;-0,318;-4,5;71,2825;43,91;4,25;18032;81;12;0;195;240
