year;month;tipe_1;tipe_2;tipe_3;model;region;quantity
2019;1;LCV;bus;gaz_next;A65R32;altayskiy;1
2019;1;LCV;bus;gaz_next;A65R32;arkhangelskaya;1
2019;1;LCV;bus;gaz_next;A65R32;buryatiya;2
2019;1;LCV;bus;gaz_next;A65R32;volgogradskaya;1
2019;1;LCV;bus;gaz_next;A65R32;voronezhskaya;1
2019;1;LCV;bus;gaz_next;A65R32;irkutskaya;1
2019;1;LCV;bus;gaz_next;A65R32;kaluzhskaya;2
2019;1;LCV;bus;gaz_next;A65R32;komi;1
2019;1;LCV;bus;gaz_next;A65R32;krasnodarskiy;4
2019;1;LCV;bus;gaz_next;A65R32;lipetskaya;2
2019;1;LCV;bus;gaz_next;A65R32;magadanskaya;1
2019;1;LCV;bus;gaz_next;A65R32;moskva;4
2019;1;LCV;bus;gaz_next;A65R32;moskovskaya;3
2019;1;LCV;bus;gaz_next;A65R32;primorskiy;1
2019;1;LCV;bus;gaz_next;A65R32;sankt_peterburg;1
2019;1;LCV;bus;gaz_next;A65R32;sakhalinskaya;2
2019;1;LCV;bus;gaz_next;A65R32;sverdlovskaya;1
2019;1;LCV;bus;gaz_next;A65R32;sevosetiya;1
2019;1;LCV;bus;gaz_next;A65R32;tverskaya;1
2019;1;LCV;bus;gaz_next;A65R32;tulskaya;1
2019;1;LCV;bus;gaz_next;A65R32;tyva;1
2019;1;LCV;bus;gaz_next;A65R32;tyumenskaya;3
2019;1;LCV;bus;gaz_next;A65R32;hakaciya;1
2019;1;LCV;bus;gaz_next;A65R32;hmao;1
2019;1;LCV;bus;gaz_next;A65R33;altayskiy;4
2019;1;LCV;bus;gaz_next;A65R33;arkhangelskaya;1
2019;1;LCV;bus;gaz_next;A65R33;bashkortostan;2
2019;1;LCV;bus;gaz_next;A65R33;volgogradskaya;1
2019;1;LCV;bus;gaz_next;A65R33;ivanovskaya;1
2019;1;LCV;bus;gaz_next;A65R33;komi;1
