target,model,feature,importance
quantity,RandomForest,bus_uaz,0.01735934706871397
quantity,RandomForest,bort_uaz,0.4259145481724308
quantity,RandomForest,cmf_uaz,0.05070001634459838
quantity,RandomForest,wa_sprice_lcv,0.0035436422094874114
quantity,RandomForest,wa_sprice_ldt,0.004283803954879165
quantity,RandomForest,wa_sprice_total,0.004100979359148495
quantity,RandomForest,gdp,0.08700059287115001
quantity,RandomForest,cp_index,0.0012689836717254452
quantity,RandomForest,rt_turnover,0.16073250894540253
quantity,RandomForest,volume_services,0.011722790693130793
quantity,RandomForest,construction,0.0034787781011511995
quantity,RandomForest,industrial_production,0.03276580875220649
quantity,RandomForest,agriculture,0.0037236943635584815
quantity,RandomForest,road_freight_turnover,0.0034535015186983632
quantity,RandomForest,passenger_turnover,0.005325872134036429
quantity,RandomForest,business_index,0.013041413334906125
quantity,RandomForest,exchange_rate,0.0069167151817822355
quantity,RandomForest,urals,0.010494086999090014
quantity,RandomForest,key_rate,0.006021599447804156
quantity,RandomForest,time_idx,0.0065018851827245245
quantity,RandomForest,month_sin,0.006178408751429662
quantity,RandomForest,month_cos,0.015083587385290784
quantity,RandomForest,lag_1,0.03486191939356103
quantity,RandomForest,lag_2,0.00608880501004879
quantity,RandomForest,lag_3,0.0038157565583061804
quantity,RandomForest,lag_6,0.008278098321505252
quantity,RandomForest,lag_12,0.02854563170234771
quantity,RandomForest,roll_mean_3,0.004547455049381759
quantity,RandomForest,roll_mean_6,0.005967558947525997
quantity,RandomForest,roll_mean_12,0.006722381544969977
quantity,RandomForest,roll_std_3,0.0038063267103652636
quantity,RandomForest,roll_std_6,0.013711017120016196
quantity,RandomForest,roll_std_12,0.004042485198626479
quantity,XGBoost,bus_uaz,0.004406501539051533
quantity,XGBoost,bort_uaz,0.22636131942272186
quantity,XGBoost,cmf_uaz,0.06415009498596191
quantity,XGBoost,wa_sprice_lcv,0.021696627140045166
quantity,XGBoost,wa_sprice_ldt,0.012021129950881004
quantity,XGBoost,wa_sprice_total,0.005418677348643541
quantity,XGBoost,gdp,0.11429618299007416
quantity,XGBoost,cp_index,0.003794347634539008
quantity,XGBoost,rt_turnover,0.144907608628273
quantity,XGBoost,volume_services,0.05026853084564209
quantity,XGBoost,construction,0.0026007755659520626
quantity,XGBoost,industrial_production,0.0072173308581113815
quantity,XGBoost,agriculture,0.015120928175747395
quantity,XGBoost,road_freight_turnover,0.0066236164420843124
quantity,XGBoost,passenger_turnover,0.007337425369769335
quantity,XGBoost,business_index,0.004318647086620331
quantity,XGBoost,exchange_rate,0.009680330753326416
quantity,XGBoost,urals,0.013721859082579613
quantity,XGBoost,key_rate,0.012315035797655582
quantity,XGBoost,time_idx,0.01781308837234974
quantity,XGBoost,month_sin,0.019787244498729706
quantity,XGBoost,month_cos,0.03791740536689758
quantity,XGBoost,lag_1,0.04266522079706192
quantity,XGBoost,lag_2,0.025210794061422348
quantity,XGBoost,lag_3,0.03717219457030296
quantity,XGBoost,lag_6,0.009295713156461716
quantity,XGBoost,lag_12,0.01659078523516655
quantity,XGBoost,roll_mean_3,0.002093551680445671
quantity,XGBoost,roll_mean_6,0.016704490408301353
quantity,XGBoost,roll_mean_12,0.004745812620967627
quantity,XGBoost,roll_std_3,0.006236492656171322
quantity,XGBoost,roll_std_6,0.0327121764421463
quantity,XGBoost,roll_std_12,0.004798112902790308
applications,RandomForest,bus_uaz,0.017992577318801186
applications,RandomForest,bort_uaz,0.0077068603469390325
applications,RandomForest,cmf_uaz,0.11884787202998146
applications,RandomForest,wa_sprice_lcv,0.012415860319636754
applications,RandomForest,wa_sprice_ldt,0.008817734145996915
applications,RandomForest,wa_sprice_total,0.009736964157531397
applications,RandomForest,gdp,0.0026617626384308566
applications,RandomForest,cp_index,0.014608235803431608
applications,RandomForest,rt_turnover,0.006235034693122469
applications,RandomForest,volume_services,0.004655522004035381
applications,RandomForest,construction,0.020384782668381157
applications,RandomForest,industrial_production,0.005863102220261134
applications,RandomForest,agriculture,0.09243606786640049
applications,RandomForest,road_freight_turnover,0.01182478691756266
applications,RandomForest,passenger_turnover,0.006198267544303898
applications,RandomForest,business_index,0.004735687528652124
applications,RandomForest,exchange_rate,0.19103626861590126
applications,RandomForest,urals,0.008753168589258056
applications,RandomForest,key_rate,0.010459905359941537
applications,RandomForest,time_idx,0.006622779172035962
applications,RandomForest,month_sin,0.006622705730539684
applications,RandomForest,month_cos,0.01443102881460906
applications,RandomForest,lag_1,0.18030773865405553
applications,RandomForest,lag_2,0.016560531186030788
