target,model,fit_seconds,MAE,RMSE,MAPE,SMAPE
applications,XGBoost,0.4092734599999801,8764.292805989584,9632.978743093585,89.8976835572744,57.90111889982496
applications,RandomForest,3.546629108000019,12338.505130129357,13107.163696000123,126.42792500493177,72.57867118721786
applications,SARIMA,2.092691377999998,11606.352683573454,13806.32034433377,98.59872828856669,149.20577307871488
applications,Naive_12m,0.0,12492.666666666666,14899.815848973883,124.46838306848365,69.18825907393865
applications,Transformer,0.19300359199999662,18701.618881383933,19367.604903003416,189.05488867883847,91.76965860524987
quantity,XGBoost,0.4740974709999932,506.60862223307294,612.2863025121087,12.923739267231868,12.862095551536735
quantity,RandomForest,3.405591681000004,657.990574207509,755.4067958924122,18.653823308454484,16.67989854894367
quantity,Transformer,1.7308823019999977,1062.703948823351,1195.9640212994905,30.384453926965854,25.28001902860801
quantity,SARIMA,2.4153448420000103,1182.6251817496902,1255.9886218882448,32.08903624096293,26.97058919033196
quantity,Naive_12m,0.0,1800.75,1945.8794284333242,47.78620363267624,37.35544977577054
